gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,game_id
0022401097,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:41 PM EST),period,start,0,0,1,0022401097
0022401097,4,PT12M00.00S,1,1610612737,ATL,1630168,Okongwu,O. Okongwu,0,0,0,,0,,,0,h,Jump Ball Okongwu vs. Clingan: Tip to Daniels,Jump Ball,,1,0,2,0022401097
0022401097,7,PT11M48.00S,1,1610612737,ATL,1629027,Young,T. Young,40,62,7,Made,1,2,0,2,h,Young 7' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,1,2,3,0022401097
0022401097,8,PT11M31.00S,1,1610612757,POR,1641739,Camara,T. Camara,15,25,3,Made,1,2,2,4,v,Camara 3' Layup (2 PTS) (Clingan 1 AST),Made Shot,Layup Shot,1,2,4,0022401097
0022401097,10,PT11M08.00S,1,1610612737,ATL,1630700,Daniels,D. Daniels,-99,46,11,Made,1,4,2,6,h,Daniels 11' Driving Floating Bank Jump Shot (2 PTS),Made Shot,Driving Floating Bank Jump Shot,1,2,5,0022401097
0022401097,12,PT10M50.00S,1,1610612757,POR,1630625,Banton,D. Banton,36,7,4,Missed,1,,,0,v,MISS Banton 4' Driving Layup,Missed Shot,Driving Layup Shot,1,2,6,0022401097
0022401097,13,PT10M48.00S,1,1610612757,POR,1630625,Banton,D. Banton,0,0,0,,0,,,0,v,Banton REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,7,0022401097
0022401097,14,PT10M47.00S,1,1610612757,POR,1630625,Banton,D. Banton,27,10,3,Missed,1,,,0,v,MISS Banton 3' Putback Layup,Missed Shot,Putback Layup Shot,1,2,8,0022401097
0022401097,15,PT10M45.00S,1,1610612737,ATL,1629027,Young,T. Young,0,0,0,,0,,,0,h,Young REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,9,0022401097
0022401097,16,PT10M37.00S,1,1610612737,ATL,1630168,Okongwu,O. Okongwu,22,271,27,Missed,1,,,0,h,MISS Okongwu 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,10,0022401097
0022401097,17,PT10M34.00S,1,1610612757,POR,1631101,Sharpe,S. Sharpe,0,0,0,,0,,,0,v,Sharpe REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,11,0022401097
0022401097,18,PT10M25.00S,1,1610612757,POR,1631101,Sharpe,S. Sharpe,-112,256,28,Missed,1,,,0,v,MISS Sharpe 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,12,0022401097
0022401097,19,PT10M21.00S,1,1610612737,ATL,1630700,Daniels,D. Daniels,0,0,0,,0,,,0,h,Daniels REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,13,0022401097
