gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,game_id
0022401148,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:11 PM EST),period,start,0,0,1,0022401148
0022401148,4,PT12M00.00S,1,1610612754,IND,1626167,Turner,M. Turner,0,0,0,,0,,,0,h,Jump Ball Turner vs. Sarr: Tip to Carrington,Jump Ball,,1,0,2,0022401148
0022401148,7,PT11M37.00S,1,1610612764,WAS,1642259,Sarr,A. Sarr,-25,50,6,Made,1,0,2,2,v,Sarr 6' Turnaround Hook Shot (2 PTS) (Carrington 1 AST),Made Shot,Turnaround Hook Shot,1,2,3,0022401148
0022401148,8,PT11M14.00S,1,1610612754,IND,1627783,Siakam,P. Siakam,100,39,11,Made,1,2,2,4,h,Siakam 11' Turnaround Fadeaway (2 PTS),Made Shot,Turnaround Fadeaway shot,1,2,4,0022401148
0022401148,9,PT10M58.00S,1,1610612764,WAS,1629673,Poole,J. Poole,15,145,15,Missed,1,,,0,v,MISS Poole 15' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,5,0022401148
0022401148,10,PT10M56.00S,1,1610612764,WAS,1629673,Poole,J. Poole,0,0,0,,0,,,0,v,Poole REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,6,0022401148
0022401148,11,PT10M55.00S,1,1610612764,WAS,1629673,Poole,J. Poole,9,82,8,Made,1,2,4,6,v,Poole 8' Jump Shot (2 PTS),Made Shot,Jump Shot,1,2,7,0022401148
0022401148,12,PT10M44.00S,1,1610612754,IND,1627783,Siakam,P. Siakam,-13,21,2,Made,1,4,4,8,h,Siakam 2' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,1,2,8,0022401148
0022401148,14,PT10M29.00S,1,1610612764,WAS,1642267,Carrington,B. Carrington,0,0,0,,0,,,0,v,Carrington Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,9,0022401148
0022401148,14,PT10M29.00S,1,1610612754,IND,1630174,Nesmith,A. Nesmith,0,0,0,,0,,,0,h,Nesmith STEAL (1 STL),,,1,0,10,0022401148
0022401148,16,PT10M20.00S,1,1610612754,IND,1630174,Nesmith,A. Nesmith,154,196,25,Missed,1,,,0,h,MISS Nesmith 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,11,0022401148
0022401148,17,PT10M18.00S,1,1610612764,WAS,1630551,Champagnie,J. Champagnie,0,0,0,,0,,,0,v,Champagnie REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,12,0022401148
0022401148,18,PT10M11.00S,1,1610612764,WAS,1630551,Champagnie,J. Champagnie,-93,264,28,Made,1,4,7,11,v,Champagnie 28' 3PT Jump Shot (3 PTS) (Carrington 2 AST),Made Shot,Jump Shot,1,3,13,0022401148
0022401148,20,PT09M58.00S,1,1610612754,IND,1627783,Siakam,P. Siakam,2,-1,0,Made,1,6,7,13,h,Siakam Driving Layup (6 PTS),Made Shot,Driving Layup Shot,1,2,14,0022401148
0022401148,21,PT09M39.00S,1,1610612764,WAS,1630551,Champagnie,J. Champagnie,-201,167,26,Made,1,6,10,16,v,Champagnie 26' 3PT Jump Shot (6 PTS) (Poole 1 AST),Made Shot,Jump Shot,1,3,15,0022401148
0022401148,23,PT09M26.00S,1,1610612754,IND,1629614,Nembhard,A. Nembhard,-197,193,28,Missed,1,,,0,h,MISS Nembhard 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,16,0022401148
0022401148,24,PT09M19.00S,1,1610612764,WAS,1642273,George,K. George,0,0,0,,0,,,0,v,George REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,17,0022401148
0022401148,25,PT09M13.00S,1,1610612764,WAS,1642267,Carrington,B. Carrington,0,0,0,,0,,,0,v,Carrington Out of Bounds - Bad Pass Turnover Turnover (P2.T2),Turnover,Out of Bounds - Bad Pass Turnover,1,0,18,0022401148
0022401148,26,PT09M01.00S,1,1610612754,IND,1629614,Nembhard,A. Nembhard,0,0,0,,0,,,0,h,Nembhard Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,1,0,19,0022401148
0022401148,27,PT08M52.00S,1,1610612764,WAS,1629673,Poole,J. Poole,-116,243,27,Made,1,6,13,19,v,Poole 27' 3PT Jump Shot (5 PTS) (Sarr 1 AST),Made Shot,Jump Shot,1,3,20,0022401148
0022401148,29,PT08M48.00S,1,0,,1610612754,,,0,0,0,,0,,,0,h,PACERS Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0,21,0022401148
0022401148,30,PT08M29.00S,1,1610612754,IND,1629614,Nembhard,A. Nembhard,-7,15,2,Missed,1,,,0,h,MISS Nembhard 2' Driving Layup,Missed Shot,Driving Layup Shot,1,2,22,0022401148
