gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,game_id
0042400151,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (9:37 PM EST),period,start,1,0,1,0042400151
0042400151,4,PT12M00.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,0,0,0,,0,,,0,h,Jump Ball Sengun vs. Green: Tip to Thompson,Jump Ball,,1,0,2,0042400151
0042400151,7,PT11M43.00S,1,1610612744,GSW,203110,Green,D. Green,0,0,0,,0,,,0,v,Green S.FOUL (P1.T1) (B.Taylor),Foul,Shooting,1,0,3,0042400151
0042400151,9,PT11M43.00S,1,1610612745,HOU,1641708,Thompson,A. Thompson,0,0,0,,0,,,0,h,MISS Thompson Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1,0,4,0042400151
0042400151,10,PT11M43.00S,1,0,,1610612745,,,0,0,0,,0,,,0,h,ROCKETS Rebound,Rebound,Normal Rebound,1,0,5,0042400151
0042400151,11,PT11M43.00S,1,1610612745,HOU,1641708,Thompson,A. Thompson,0,0,0,,0,,,0,h,MISS Thompson Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,6,0042400151
0042400151,12,PT11M41.00S,1,0,,1610612745,,,0,0,0,,0,,,0,h,ROCKETS Rebound,Rebound,Unknown,1,0,7,0042400151
0042400151,14,PT11M31.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,0,0,0,,0,,,0,h,Sengun Offensive Charge Foul (P1) (G.Petraitis),Foul,Offensive Charge,1,0,8,0042400151
0042400151,16,PT11M31.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,0,0,0,,0,,,0,h,Sengun Offensive Foul Turnover (P1.T1),Turnover,Offensive Foul Turnover,1,0,9,0042400151
0042400151,17,PT11M20.00S,1,1610612744,GSW,201939,Curry,S. Curry,108,238,26,Missed,1,,,0,v,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,10,0042400151
0042400151,18,PT11M18.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,0,0,0,,0,,,0,h,Sengun REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,11,0042400151
0042400151,19,PT11M09.00S,1,1610612745,HOU,1641708,Thompson,A. Thompson,-70,126,14,Made,1,2,0,2,h,Thompson 14' Pullup Jump Shot (2 PTS) (VanVleet 1 AST),Made Shot,Pullup Jump shot,1,2,12,0042400151
0042400151,21,PT10M45.00S,1,1610612744,GSW,202710,Butler III,J. Butler III,108,228,25,Missed,1,,,0,v,MISS Butler III 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,13,0042400151
0042400151,22,PT10M43.00S,1,1610612745,HOU,1630224,Green,J. Green,0,0,0,,0,,,0,h,Ja. Green REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,14,0042400151
0042400151,23,PT10M33.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,0,53,5,Made,1,4,0,4,h,Sengun 5' Cutting Dunk Shot (2 PTS) (Ja. Green 1 AST),Made Shot,Cutting Dunk Shot,1,2,15,0042400151
0042400151,25,PT10M18.00S,1,1610612744,GSW,1630541,Moody,M. Moody,222,125,25,Missed,1,,,0,v,MISS Moody 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,16,0042400151
0042400151,26,PT10M16.00S,1,1610612745,HOU,1641708,Thompson,A. Thompson,0,0,0,,0,,,0,h,Thompson REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,17,0042400151
0042400151,27,PT10M11.00S,1,1610612745,HOU,1627832,VanVleet,F. VanVleet,208,182,28,Made,1,7,0,7,h,VanVleet 28' 3PT Jump Shot (3 PTS) (Thompson 1 AST),Made Shot,Jump Shot,1,3,18,0042400151
0042400151,29,PT09M43.00S,1,1610612744,GSW,1641764,Podziemski,B. Podziemski,109,263,28,Made,1,7,3,10,v,Podziemski 28' 3PT Jump Shot (3 PTS) (Butler III 1 AST),Made Shot,Jump Shot,1,3,19,0042400151
0042400151,31,PT09M27.00S,1,1610612745,HOU,1627832,VanVleet,F. VanVleet,203,157,26,Missed,1,,,0,h,MISS VanVleet 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,20,0042400151
0042400151,32,PT09M25.00S,1,1610612744,GSW,203110,Green,D. Green,0,0,0,,0,,,0,v,Green REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,21,0042400151
