gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,game_id
0022401078,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:12 PM EST),period,start,0,0,1,0022401078
0022401078,4,PT12M00.00S,1,1610612763,MEM,1641744,Edey,Z. Edey,0,0,0,,0,,,0,h,Jump Ball Edey vs. Hayes: Tip to L. James,Jump Ball,,0,0,2,0022401078
0022401078,7,PT11M41.00S,1,1610612763,MEM,1628991,Jackson Jr.,J. Jackson Jr.,0,0,0,,0,,,0,h,Jackson Jr. S.FOUL (P1.T1) (J.DeRosa),Foul,Shooting,1,0,3,0022401078
0022401078,9,PT11M41.00S,1,1610612747,LAL,1630559,Reaves,A. Reaves,0,0,0,,0,0,1,1,v,Reaves Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,4,0022401078
0022401078,10,PT11M41.00S,1,1610612747,LAL,1630559,Reaves,A. Reaves,0,0,0,,0,0,2,2,v,Reaves Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,5,0022401078
0022401078,11,PT11M21.00S,1,1610612763,MEM,1629630,Morant,J. Morant,23,21,3,Missed,1,,,0,h,MISS Morant 3' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,6,0022401078
0022401078,12,PT11M19.00S,1,1610612747,LAL,1629637,Hayes,J. Hayes,0,0,0,,0,,,0,v,Hayes REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,7,0022401078
0022401078,13,PT11M14.00S,1,1610612747,LAL,1629060,Hachimura,R. Hachimura,224,91,24,Missed,1,,,0,v,MISS Hachimura 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,8,0022401078
0022401078,14,PT11M11.00S,1,1610612763,MEM,1630217,Bane,D. Bane,0,0,0,,0,,,0,h,Bane REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,9,0022401078
0022401078,15,PT11M05.00S,1,1610612763,MEM,1641744,Edey,Z. Edey,10,5,1,Made,1,2,2,4,h,Edey 1' Driving Layup (2 PTS) (Bane 1 AST),Made Shot,Driving Layup Shot,1,2,10,0022401078
0022401078,18,PT10M43.00S,1,1610612747,LAL,1629029,Dončić,L. Dončić,-197,6,20,Made,1,2,4,6,v,Doncic 20' Fadeaway Jumper (2 PTS),Made Shot,Fadeaway Jump Shot,1,2,11,0022401078
0022401078,19,PT10M28.00S,1,1610612763,MEM,1628991,Jackson Jr.,J. Jackson Jr.,0,0,0,,0,,,0,h,Jackson Jr. Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,12,0022401078
0022401078,19,PT10M28.00S,1,1610612747,LAL,2544,James,L. James,0,0,0,,0,,,0,v,L. James STEAL (1 STL),,,1,0,13,0022401078
0022401078,21,PT10M23.00S,1,1610612747,LAL,2544,James,L. James,-26,13,3,Missed,1,,,0,v,MISS L. James 3' Running Layup,Missed Shot,Running Layup Shot,1,2,14,0022401078
0022401078,22,PT10M20.00S,1,1610612763,MEM,1629630,Morant,J. Morant,0,0,0,,0,,,0,h,Morant REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,15,0022401078
0022401078,23,PT10M16.00S,1,1610612747,LAL,1629637,Hayes,J. Hayes,0,0,0,,0,,,0,v,Hayes S.FOUL (P1.T1) (J.DeRosa),Foul,Shooting,1,0,16,0022401078
0022401078,25,PT10M16.00S,1,1610612763,MEM,1629630,Morant,J. Morant,0,0,0,,0,3,4,7,h,Morant Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,17,0022401078
0022401078,26,PT10M16.00S,1,1610612763,MEM,1629630,Morant,J. Morant,0,0,0,,0,4,4,8,h,Morant Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,18,0022401078
0022401078,27,PT09M59.00S,1,1610612747,LAL,2544,James,L. James,-228,97,25,Made,1,4,7,11,v,L. James 25' 3PT Jump Shot (3 PTS) (Reaves 1 AST),Made Shot,Jump Shot,1,3,19,0022401078
0022401078,29,PT09M47.00S,1,1610612763,MEM,1629630,Morant,J. Morant,66,84,11,Missed,1,,,0,h,MISS Morant 11' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,1,2,20,0022401078
0022401078,30,PT09M45.00S,1,1610612747,LAL,1629637,Hayes,J. Hayes,0,0,0,,0,,,0,v,Hayes REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,21,0022401078
0022401078,31,PT09M37.00S,1,1610612747,LAL,1629637,Hayes,J. Hayes,0,0,0,,0,,,0,v,Hayes Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,22,0022401078
0022401078,31,PT09M37.00S,1,1610612763,MEM,1628991,Jackson Jr.,J. Jackson Jr.,0,0,0,,0,,,0,h,Jackson Jr. STEAL (1 STL),,,1,0,23,0022401078
0022401078,33,PT09M28.00S,1,1610612763,MEM,1628991,Jackson Jr.,J. Jackson Jr.,-20,93,10,Missed,1,,,0,h,MISS Jackson Jr. 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,24,0022401078
