gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,game_id
0022401158,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:44 PM EST),period,start,0,0,1,0022401158
0022401158,4,PT12M00.00S,1,1610612761,TOR,1631115,Robinson,O. Robinson,0,0,0,,0,,,0,h,Jump Ball Robinson vs. Nurkic: Tip to Salaun,Jump Ball,,1,0,2,0022401158
0022401158,7,PT11M35.00S,1,1610612766,CHA,203994,Nurkić,J. Nurkić,-1,53,5,Missed,1,,,0,v,MISS Nurkic 5' Driving Hook Shot,Missed Shot,Driving Hook Shot,1,2,3,0022401158
0022401158,8,PT11M34.00S,1,1610612761,TOR,1642367,Mogbo,J. Mogbo,0,0,0,,0,,,0,h,Mogbo REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,4,0022401158
0022401158,9,PT11M25.00S,1,1610612761,TOR,1642367,Mogbo,J. Mogbo,96,235,25,Missed,1,,,0,h,MISS Mogbo 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,5,0022401158
0022401158,10,PT11M24.00S,1,1610612766,CHA,1629610,Jeffries,D. Jeffries,0,0,0,,0,,,0,v,Jeffries REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,6,0022401158
0022401158,11,PT11M02.00S,1,1610612761,TOR,1630193,Quickley,I. Quickley,0,0,0,,0,,,0,h,Quickley S.FOUL (P1.T1) (A.Nagy),Foul,Shooting,1,0,7,0022401158
0022401158,13,PT11M02.00S,1,1610612766,CHA,1642354,Simpson,K. Simpson,0,0,0,,0,0,1,1,v,Simpson Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,8,0022401158
0022401158,14,PT11M02.00S,1,1610612766,CHA,1642354,Simpson,K. Simpson,0,0,0,,0,,,0,v,MISS Simpson Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,9,0022401158
0022401158,15,PT11M01.00S,1,1610612761,TOR,1631115,Robinson,O. Robinson,0,0,0,,0,,,0,h,Robinson REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,10,0022401158
