gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,game_id
0022400159,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:17 PM EST),period,start,0,0,1,0022400159
0022400159,4,PT12M00.00S,1,1610612748,MIA,1628389,Adebayo,B. Adebayo,0,0,0,,0,,,0,h, ,Jump Ball,,1,0,2,0022400159
0022400159,7,PT11M31.00S,1,1610612748,MIA,1626179,Rozier,T. Rozier,-214,116,24,Missed,1,,,0,h,MISS Rozier 24' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,3,0022400159
0022400159,8,PT11M31.00S,1,0,,1610612748,,,0,0,0,,0,,,0,h,HEAT Rebound,Rebound,Unknown,1,0,4,0022400159
0022400159,9,PT11M28.00S,1,1610612758,SAC,1631165,Ellis,K. Ellis,0,0,0,,0,,,0,v,Ellis S.FOUL (P1.T1) (T.Mirkovich),Foul,Shooting,1,0,5,0022400159
0022400159,11,PT11M28.00S,1,1610612748,MIA,1629639,Herro,T. Herro,0,0,0,,0,1,0,1,h,Herro Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,6,0022400159
0022400159,12,PT11M28.00S,1,1610612748,MIA,1629639,Herro,T. Herro,0,0,0,,0,,,0,h,MISS Herro Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,7,0022400159
0022400159,13,PT11M24.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,0,0,0,,0,,,0,v,Sabonis REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,8,0022400159
0022400159,14,PT11M06.00S,1,1610612758,SAC,1631165,Ellis,K. Ellis,-23,32,4,Missed,1,,,0,v,MISS Ellis 4' Driving Layup,Missed Shot,Driving Layup Shot,1,2,9,0022400159
0022400159,14,PT11M06.00S,1,1610612748,MIA,1628389,Adebayo,B. Adebayo,0,0,0,,0,,,0,h,Adebayo BLOCK (1 BLK),,,1,2,10,0022400159
0022400159,16,PT11M01.00S,1,1610612748,MIA,1628389,Adebayo,B. Adebayo,0,0,0,,0,,,0,h,Adebayo REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,11,0022400159
0022400159,17,PT10M46.00S,1,1610612748,MIA,1629639,Herro,T. Herro,6,274,27,Made,1,4,0,4,h,Herro 27' 3PT Jump Shot (4 PTS) (Butler 1 AST),Made Shot,Jump Shot,1,3,12,0022400159
0022400159,19,PT10M20.00S,1,1610612758,SAC,1628368,Fox,D. Fox,-96,147,18,Missed,1,,,0,v,MISS Fox 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,13,0022400159
0022400159,20,PT10M18.00S,1,1610612758,SAC,1628368,Fox,D. Fox,0,0,0,,0,,,0,v,Fox REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,14,0022400159
0022400159,21,PT10M16.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,-2,265,27,Made,1,4,3,7,v,Sabonis 27' 3PT Jump Shot (3 PTS) (Fox 1 AST),Made Shot,Jump Shot,1,3,15,0022400159
0022400159,23,PT09M59.00S,1,1610612748,MIA,202710,Butler III,J. Butler III,0,0,0,,0,,,0,h,Butler Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,1,0,16,0022400159
0022400159,24,PT09M46.00S,1,1610612748,MIA,202710,Butler III,J. Butler III,0,0,0,,0,,,0,h,Butler S.FOUL (P1.T1) (S.Twardoski),Foul,Shooting,1,0,17,0022400159
0022400159,26,PT09M46.00S,1,1610612758,SAC,201942,DeRozan,D. DeRozan,0,0,0,,0,4,4,8,v,DeRozan Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,18,0022400159
0022400159,27,PT09M46.00S,1,1610612758,SAC,201942,DeRozan,D. DeRozan,0,0,0,,0,4,5,9,v,DeRozan Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,19,0022400159
0022400159,28,PT09M37.00S,1,1610612748,MIA,1629639,Herro,T. Herro,0,0,0,,0,,,0,h,Herro Bad Pass Turnover (P1.T2),Turnover,Bad Pass,1,0,20,0022400159
0022400159,28,PT09M37.00S,1,1610612758,SAC,1631165,Ellis,K. Ellis,0,0,0,,0,,,0,v,Ellis STEAL (1 STL),,,1,0,21,0022400159
0022400159,30,PT09M30.00S,1,1610612758,SAC,1631099,Murray,K. Murray,43,280,28,Missed,1,,,0,v,MISS Murray 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,22,0022400159
0022400159,31,PT09M29.00S,1,0,,1610612748,,,0,0,0,,0,,,0,h,HEAT Rebound,Rebound,Unknown,0,0,23,0022400159
0022400159,33,PT09M08.00S,1,1610612748,MIA,1629639,Herro,T. Herro,165,201,26,Made,1,7,5,12,h,Herro 26' 3PT Fadeaway Jumper (7 PTS) (Adebayo 1 AST),Made Shot,Fadeaway Jump Shot,1,3,24,0022400159
0022400159,35,PT08M53.00S,1,1610612748,MIA,1631107,Jović,N. Jović,0,0,0,,0,,,0,h,Jović P.FOUL (P1.T2) (J.Goble),Foul,Personal,1,0,25,0022400159
0022400159,37,PT08M46.00S,1,1610612758,SAC,1631099,Murray,K. Murray,-21,28,4,Made,1,7,7,14,v,Murray 4' Driving Dunk (2 PTS) (Fox 2 AST),Made Shot,Driving Dunk Shot,1,2,26,0022400159
0022400159,39,PT08M23.00S,1,1610612748,MIA,1631107,Jović,N. Jović,-18,37,4,Made,1,9,7,16,h,Jović 4' Driving Layup (2 PTS) (Butler 2 AST),Made Shot,Driving Layup Shot,1,2,27,0022400159
0022400159,41,PT08M06.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,0,0,0,,0,,,0,v,Sabonis Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,28,0022400159
0022400159,41,PT08M06.00S,1,1610612748,MIA,1628389,Adebayo,B. Adebayo,0,0,0,,0,,,0,h,Adebayo STEAL (1 STL),,,1,0,29,0022400159
0022400159,43,PT08M01.00S,1,1610612748,MIA,1631107,Jović,N. Jović,-31,31,4,Missed,1,,,0,h,MISS Jović 4' Running Dunk,Missed Shot,Running Dunk Shot,1,2,30,0022400159
0022400159,44,PT07M58.00S,1,1610612758,SAC,1631099,Murray,K. Murray,0,0,0,,0,,,0,v,Murray REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,31,0022400159
