gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,game_id
0042300172,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (10:20 PM EST),period,start,0,0,1,0042300172
0042300172,4,PT12M00.00S,1,1610612746,LAC,1627826,Zubac,I. Zubac,0,0,0,,0,,,0,h,Jump Ball Zubac vs. Gafford: Tip to Harden,Jump Ball,,1,0,2,0042300172
0042300172,7,PT11M40.00S,1,1610612746,LAC,1629611,Mann,T. Mann,9,43,4,Missed,1,,,0,h,MISS Mann 4' Cutting Dunk Shot,Missed Shot,Cutting Dunk Shot,1,2,3,0042300172
0042300172,7,PT11M40.00S,1,1610612742,DAL,1629023,Washington,P. Washington,0,0,0,,0,,,0,v,Washington BLOCK (1 BLK),,,1,2,4,0042300172
0042300172,9,PT11M37.00S,1,1610612742,DAL,1627884,Jones Jr.,D. Jones Jr.,0,0,0,,0,,,0,v,Jones Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,5,0042300172
0042300172,10,PT11M20.00S,1,1610612742,DAL,1629655,Gafford,D. Gafford,36,23,4,Missed,1,,,0,v,MISS Gafford 4' Driving Layup,Missed Shot,Driving Layup Shot,1,2,6,0042300172
0042300172,11,PT11M17.00S,1,1610612742,DAL,1627884,Jones Jr.,D. Jones Jr.,0,0,0,,0,,,0,v,Jones Jr. REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,7,0042300172
0042300172,12,PT11M17.00S,1,1610612742,DAL,1627884,Jones Jr.,D. Jones Jr.,0,0,0,Made,1,0,2,2,v,Jones Jr. Tip Dunk Shot (2 PTS),Made Shot,Tip Dunk Shot,1,2,8,0042300172
0042300172,13,PT11M04.00S,1,1610612746,LAC,202331,George,P. George,-11,4,1,Made,1,2,2,4,h,George 1' Cutting Dunk Shot (2 PTS) (Harden 1 AST),Made Shot,Cutting Dunk Shot,1,2,9,0042300172
0042300172,15,PT10M46.00S,1,1610612742,DAL,202681,Irving,K. Irving,0,0,0,,0,,,0,v,Irving Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,10,0042300172
0042300172,15,PT10M46.00S,1,1610612746,LAC,202695,Leonard,K. Leonard,0,0,0,,0,,,0,h,Leonard STEAL (1 STL),,,1,0,11,0042300172
