gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id
0022300893,1610612756,Phoenix,Suns,PHX,suns,1626220,Royce,O'Neale,R. O'Neale,royce-oneale,F,,,39:03,3,9,0.333,2,5,0.4,0,0,0.0,1,4,5,6,0,0,1,2,8,12.0,0022300893
0022300893,1610612756,Phoenix,Suns,PHX,suns,201142,Kevin,Durant,K. Durant,kevin-durant,F,,,43:46,14,34,0.412,3,8,0.375,4,5,0.8,0,8,8,5,0,2,2,1,35,14.0,0022300893
0022300893,1610612756,Phoenix,Suns,PHX,suns,203994,Jusuf,Nurkić,J. Nurkić,jusuf-nurkić,C,,,29:53,3,4,0.75,0,0,0.0,1,2,0.5,1,11,12,6,2,2,3,6,7,9.0,0022300893
0022300893,1610612756,Phoenix,Suns,PHX,suns,1628960,Grayson,Allen,G. Allen,grayson-allen,G,,,40:38,9,15,0.6,8,12,0.667,2,2,1.0,1,4,5,4,3,0,0,1,28,20.0,0022300893
0022300893,1610612756,Phoenix,Suns,PHX,suns,203078,Bradley,Beal,B. Beal,bradley-beal,G,,,36:14,6,18,0.333,2,5,0.4,2,2,1.0,1,5,6,6,2,0,2,4,16,4.0,0022300893
0022300893,1610612756,Phoenix,Suns,PHX,suns,201569,Eric,Gordon,E. Gordon,eric-gordon,,,,21:41,1,7,0.143,0,4,0.0,2,4,0.5,1,0,1,2,2,0,1,0,4,6.0,0022300893
0022300893,1610612756,Phoenix,Suns,PHX,suns,1629626,Bol,Bol,B. Bol,bol-bol,,,,12:31,1,2,0.5,0,0,0.0,0,0,0.0,1,3,4,1,0,1,0,2,2,-8.0,0022300893
0022300893,1610612756,Phoenix,Suns,PHX,suns,1630240,Saben,Lee,S. Lee,saben-lee,,,,12:41,1,3,0.333,0,0,0.0,2,2,1.0,1,2,3,2,0,0,0,0,4,-12.0,0022300893
0022300893,1610612756,Phoenix,Suns,PHX,suns,1629234,Drew,Eubanks,D. Eubanks,drew-eubanks,,,,23:07,3,3,1.0,0,0,0.0,4,4,1.0,4,4,8,0,0,2,0,3,10,1.0,0022300893
0022300893,1610612756,Phoenix,Suns,PHX,suns,1631223,David,Roddy,D. Roddy,david-roddy,,,,5:26,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0,0,0,0,0,0,3,4.0,0022300893
