gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,1629652,Luguentz,Dort,L. Dort,luguentz-dort,F,,,29:03,3,7,0.429,2,3,0.667,6,6,1.0,3,1,4,3,0,0,0,4,14,11.0,0022300467
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,1631114,Jalen,Williams,J. Williams,jalen-williams,F,,,34:37,9,12,0.75,1,1,1.0,2,5,0.4,1,2,3,6,4,0,2,4,21,3.0,0022300467
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,1631096,Chet,Holmgren,C. Holmgren,chet-holmgren,C,,,24:34,5,9,0.556,2,5,0.4,0,0,0.0,0,3,3,1,0,0,4,1,12,-1.0,0022300467
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,1630581,Josh,Giddey,J. Giddey,josh-giddey,G,,,22:22,3,7,0.429,2,3,0.667,1,2,0.5,2,1,3,4,1,0,2,1,9,1.0,0022300467
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,1628983,Shai,Gilgeous-Alexander,S. Gilgeous-Alexander,shai-gilgeous-alexander,G,,,35:24,11,24,0.458,2,3,0.667,9,11,0.818,1,12,13,8,0,0,2,2,33,2.0,0022300467
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,1631119,Jaylin,Williams,J. Williams,jaylin-williams,,,,15:01,1,2,0.5,1,2,0.5,0,0,0.0,0,3,3,2,2,0,0,4,3,-10.0,0022300467
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,1641717,Cason,Wallace,C. Wallace,cason-wallace,,,,19:54,5,9,0.556,3,7,0.429,2,2,1.0,0,1,1,2,1,0,0,2,15,-16.0,0022300467
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,1630198,Isaiah,Joe,I. Joe,isaiah-joe,,,,17:42,4,8,0.5,1,5,0.2,0,0,0.0,1,0,1,1,1,0,2,2,9,-3.0,0022300467
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,1630322,Lindy,Waters III,L. Waters III,lindy-waters-iii,,,,20:09,3,6,0.5,3,6,0.5,0,0,0.0,0,3,3,1,0,0,1,2,9,5.0,0022300467
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,1630598,Aaron,Wiggins,A. Wiggins,aaron-wiggins,,,,21:14,6,7,0.857,1,1,1.0,0,0,0.0,1,2,3,2,1,1,0,1,13,-7.0,0022300467
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,202722,Davis,Bertans,D. Bertans,davis-bertans,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022300467
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,1630544,Tre,Mann,T. Mann,tre-mann,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022300467
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,203995,Vasilije,Micić,V. Micić,vasilije-micić,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022300467
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,1630846,Olivier,Sarr,O. Sarr,olivier-sarr,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022300467
0022300467,1610612760,Oklahoma City,Thunder,OKC,thunder,1629026,Kenrich,Williams,K. Williams,kenrich-williams,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022300467
0022300467,1610612737,Atlanta,Hawks,ATL,hawks,1630180,Saddiq,Bey,S. Bey,saddiq-bey,F,,,35:37,3,12,0.25,2,8,0.25,2,2,1.0,2,6,8,2,0,1,0,2,10,6.0,0022300467
0022300467,1610612737,Atlanta,Hawks,ATL,hawks,1630552,Jalen,Johnson,J. Johnson,jalen-johnson,F,,,28:56,11,18,0.611,2,4,0.5,4,4,1.0,1,6,7,3,4,0,1,5,28,-1.0,0022300467
0022300467,1610612737,Atlanta,Hawks,ATL,hawks,203991,Clint,Capela,C. Capela,clint-capela,C,,,25:16,5,8,0.625,0,0,0.0,2,2,1.0,7,7,14,0,0,3,0,2,12,-9.0,0022300467
0022300467,1610612737,Atlanta,Hawks,ATL,hawks,1627749,Dejounte,Murray,D. Murray,dejounte-murray,G,,,35:25,8,18,0.444,2,5,0.4,4,4,1.0,2,4,6,6,0,0,3,2,22,4.0,0022300467
0022300467,1610612737,Atlanta,Hawks,ATL,hawks,1629027,Trae,Young,T. Young,trae-young,G,,,33:57,6,13,0.462,2,9,0.222,10,11,0.909,0,4,4,11,2,0,6,2,24,-9.0,0022300467
0022300467,1610612737,Atlanta,Hawks,ATL,hawks,1630235,Trent,Forrest,T. Forrest,trent-forrest,,,,14:19,3,3,1.0,0,0,0.0,0,0,0.0,0,2,2,2,0,1,0,3,6,7.0,0022300467
