gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id
0022300636,1610612756,Phoenix,Suns,PHX,suns,1628960,Grayson,Allen,G. Allen,grayson-allen,F,,,37:19,4,5,0.8,2,3,0.667,1,1,1.0,0,3,3,1,0,1,2,5,11,-8.0,0022300636
0022300636,1610612756,Phoenix,Suns,PHX,suns,201142,Kevin,Durant,K. Durant,kevin-durant,F,,,39:14,9,15,0.6,2,4,0.5,0,0,0.0,1,6,7,6,1,1,2,1,20,-9.0,0022300636
0022300636,1610612756,Phoenix,Suns,PHX,suns,203994,Jusuf,Nurkić,J. Nurkić,jusuf-nurkić,C,,,20:08,1,3,0.333,0,0,0.0,0,0,0.0,0,4,4,5,3,0,2,2,2,-3.0,0022300636
0022300636,1610612756,Phoenix,Suns,PHX,suns,203078,Bradley,Beal,B. Beal,bradley-beal,G,,,34:22,5,13,0.385,1,5,0.2,1,1,1.0,1,3,4,3,1,1,6,5,12,-4.0,0022300636
0022300636,1610612756,Phoenix,Suns,PHX,suns,1626164,Devin,Booker,D. Booker,devin-booker,G,,,38:18,22,37,0.595,6,12,0.5,12,13,0.923,0,5,5,4,1,2,4,2,62,1.0,0022300636
0022300636,1610612756,Phoenix,Suns,PHX,suns,201569,Eric,Gordon,E. Gordon,eric-gordon,,,,30:26,5,9,0.556,2,6,0.333,2,3,0.667,0,2,2,2,1,0,2,0,14,0.0,0022300636
0022300636,1610612756,Phoenix,Suns,PHX,suns,1629234,Drew,Eubanks,D. Eubanks,drew-eubanks,,,,15:56,4,4,1.0,0,0,0.0,0,0,0.0,2,3,5,1,0,0,1,1,8,12.0,0022300636
0022300636,1610612756,Phoenix,Suns,PHX,suns,1628966,Keita,Bates-Diop,K. Bates-Diop,keita-bates-diop,,,,8:46,1,1,1.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,1,0,2,7.0,0022300636
0022300636,1610612756,Phoenix,Suns,PHX,suns,1629006,Josh,Okogie,J. Okogie,josh-okogie,,,,13:06,0,1,0.0,0,0,0.0,0,0,0.0,2,1,3,1,1,0,0,1,0,-1.0,0022300636
0022300636,1610612756,Phoenix,Suns,PHX,suns,1629002,Chimezie,Metu,C. Metu,chimezie-metu,,,,2:25,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-5.0,0022300636
0022300636,1610612756,Phoenix,Suns,PHX,suns,1630692,Jordan,Goodwin,J. Goodwin,jordan-goodwin,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022300636
