game_id,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,STARTER,START_POSITION,MIN,PTS,REB,AST,TOV,STL,BLK,PF,PLUS_MINUS,OREB,DREB,FGM,FGA,FG3M,FG3A,FTM,FTA,DNP,DNP_REASON,gameId,teamTricode,personId,firstName,familyName,position,comment,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,source
401856912,TOR,4398768,Nyara Sabally,True,F,28.0,14,9,3,0,1,2,3,-4,5,4,5,10,0,1,4,4,False,COACH'S DECISION,401856912,TOR,4398768,Nyara,Sabally,F,,28,5,10,0.5,0,1,0.0,4,4,1.0,5,4,9,3,1,2,0,3,14,-4.0,espn
401856912,TOR,4874475,Nikolina Milic,True,F,5.0,0,0,0,2,0,0,1,-15,0,0,0,0,0,0,0,0,False,COACH'S DECISION,401856912,TOR,4874475,Nikolina,Milic,F,,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,1,0,-15.0,espn
401856912,TOR,2988756,Brittney Sykes,True,G,35.0,27,4,7,3,4,0,4,-7,0,4,7,19,2,7,11,11,False,COACH'S DECISION,401856912,TOR,2988756,Brittney,Sykes,G,,35,7,19,0.3684210526315789,2,7,0.2857142857142857,11,11,1.0,0,4,4,7,4,0,3,4,27,-7.0,espn
401856912,TOR,3904576,Marina Mabrey,True,G,21.0,7,2,0,3,0,1,3,-21,0,2,3,10,1,6,0,0,False,COACH'S DECISION,401856912,TOR,3904576,Marina,Mabrey,G,,21,3,10,0.3,1,6,0.16666666666666666,0,0,0.0,0,2,2,0,0,1,3,3,7,-21.0,espn
401856912,TOR,4001679,Julie Allemand,True,G,21.0,5,1,4,1,2,0,1,-18,0,1,2,4,1,3,0,0,False,COACH'S DECISION,401856912,TOR,4001679,Julie,Allemand,G,,21,2,4,0.5,1,3,0.3333333333333333,0,0,0.0,0,1,1,4,2,0,1,1,5,-18.0,espn
401856912,TOR,3910470,Maria Conde,False,,20.0,6,4,0,2,1,0,0,0,2,2,2,6,2,5,0,0,False,COACH'S DECISION,401856912,TOR,3910470,Maria,Conde,F,,20,2,6,0.3333333333333333,2,5,0.4,0,0,0.0,2,2,4,0,1,0,2,0,6,0.0,espn
401856912,TOR,4434020,Teonni Key,False,,9.0,5,2,1,0,0,1,2,-1,2,0,1,1,1,1,2,2,False,COACH'S DECISION,401856912,TOR,4434020,Teonni,Key,F,,9,1,1,1.0,1,1,1.0,2,2,1.0,2,0,2,1,0,1,0,2,5,-1.0,espn
401856912,TOR,5345444,Laura Juskaite,False,,25.0,16,3,4,1,4,0,5,19,1,2,5,9,2,4,4,5,False,COACH'S DECISION,401856912,TOR,5345444,Laura,Juskaite,F,,25,5,9,0.5555555555555556,2,4,0.5,4,5,0.8,1,2,3,4,4,0,1,5,16,19.0,espn
401856912,TOR,3142327,Kia Nurse,False,,9.0,4,1,1,0,1,0,0,8,0,1,2,4,0,2,0,0,False,COACH'S DECISION,401856912,TOR,3142327,Kia,Nurse,G,,9,2,4,0.5,0,2,0.0,0,0,0.0,0,1,1,1,1,0,0,0,4,8.0,espn
401856912,TOR,4399342,Lexi Held,False,,6.0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,False,COACH'S DECISION,401856912,TOR,4399342,Lexi,Held,G,,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,4.0,espn
401856912,TOR,4565505,Kiki Rice,False,,21.0,11,0,2,1,0,0,4,15,0,0,4,7,3,4,0,0,False,COACH'S DECISION,401856912,TOR,4565505,Kiki,Rice,G,,21,4,7,0.5714285714285714,3,4,0.75,0,0,0.0,0,0,0,2,0,0,1,4,11,15.0,espn
401856912,LAS,1068,Nneka Ogwumike,True,F,32.0,20,5,3,2,1,0,4,14,0,5,8,11,1,2,3,3,False,COACH'S DECISION,401856912,LAS,1068,Nneka,Ogwumike,F,,32,8,11,0.7272727272727273,1,2,0.5,3,3,1.0,0,5,5,3,1,0,2,4,20,14.0,espn
401856912,LAS,2566106,Dearica Hamby,True,F,32.0,19,7,4,2,0,0,4,6,1,6,8,10,0,0,3,3,False,COACH'S DECISION,401856912,LAS,2566106,Dearica,Hamby,F,,32,8,10,0.8,0,0,0.0,3,3,1.0,1,6,7,4,0,0,2,4,19,6.0,espn
401856912,LAS,2491214,Erica Wheeler,True,G,33.0,10,2,7,3,1,0,1,16,0,2,3,5,2,4,2,2,False,COACH'S DECISION,401856912,LAS,2491214,Erica,Wheeler,G,,33,3,5,0.6,2,4,0.5,2,2,1.0,0,2,2,7,1,0,3,1,10,16.0,espn
401856912,LAS,3065570,Kelsey Plum,True,G,33.0,27,0,9,2,3,0,3,8,0,0,10,16,4,8,3,4,False,COACH'S DECISION,401856912,LAS,3065570,Kelsey,Plum,G,,33,10,16,0.625,4,8,0.5,3,4,0.75,0,0,0,9,3,0,2,3,27,8.0,espn
401856912,LAS,4398764,Rae Burrell,True,G,35.0,13,5,2,5,0,0,2,10,1,4,5,6,2,3,1,2,False,COACH'S DECISION,401856912,LAS,4398764,Rae,Burrell,G,,35,5,6,0.8333333333333334,2,3,0.6666666666666666,1,2,0.5,1,4,5,2,0,0,5,2,13,10.0,espn
401856912,LAS,4433404,Cameron Brink,False,,16.0,10,3,1,1,1,1,3,-12,0,3,3,6,0,1,4,6,False,COACH'S DECISION,401856912,LAS,4433404,Cameron,Brink,F,,16,3,6,0.5,0,1,0.0,4,6,0.6666666666666666,0,3,3,1,1,1,1,3,10,-12.0,espn
401856912,LAS,4398907,Kate Martin,False,,6.0,0,1,0,0,0,0,1,-1,0,1,0,2,0,1,0,0,False,COACH'S DECISION,401856912,LAS,4398907,Kate,Martin,G,,6,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-1.0,espn
401856912,LAS,4609797,Ta'Niya Latson,False,,2.0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,False,COACH'S DECISION,401856912,LAS,4609797,Ta'Niya,Latson,G,,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7.0,espn
401856912,LAS,5105729,Chance Gray,False,,11.0,0,1,0,1,0,0,0,-14,0,1,0,2,0,2,0,0,False,COACH'S DECISION,401856912,LAS,5105729,Chance,Gray,G,,11,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-14.0,espn
401856912,LAS,2284331,Emma Cannon,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,COACH'S DECISION,401856912,LAS,2284331,Emma,Cannon,F,COACH'S DECISION,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,,espn
