gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id
0022401002,1610612755,Philadelphia,76ers,PHI,sixers,1629052,Oshae,Brissett,O. Brissett,oshae-brissett,F,,,20:08,0,4,0.0,0,2,0.0,0,0,0.0,1,5,6,1,1,0,0,4,0,-15.0,0022401002
0022401002,1610612755,Philadelphia,76ers,PHI,sixers,1642348,Justin,Edwards,J. Edwards,justin-edwards,F,,,30:24,7,14,0.5,3,8,0.375,2,2,1.0,0,2,2,2,2,1,2,1,19,-16.0,0022401002
0022401002,1610612755,Philadelphia,76ers,PHI,sixers,1627824,Guerschon,Yabusele,G. Yabusele,guerschon-yabusele,C,,,19:39,4,9,0.444,3,8,0.375,0,0,0.0,2,2,4,2,1,0,1,2,11,-10.0,0022401002
0022401002,1610612755,Philadelphia,76ers,PHI,sixers,1629656,Quentin,Grimes,Q. Grimes,quentin-grimes,G,,,32:11,10,21,0.476,3,7,0.429,5,6,0.833,2,0,2,5,3,0,5,3,28,-23.0,0022401002
0022401002,1610612755,Philadelphia,76ers,PHI,sixers,1630215,Jared,Butler,J. Butler,jared-butler,G,,,23:40,3,13,0.231,1,8,0.125,0,0,0.0,0,2,2,4,1,0,0,1,7,-18.0,0022401002
0022401002,1610612755,Philadelphia,76ers,PHI,sixers,1641741,Ricky,Council IV,R. Council IV,ricky-council-iv,,,,24:25,1,11,0.091,0,8,0.0,2,4,0.5,0,4,4,3,0,0,2,1,4,-21.0,0022401002
0022401002,1610612755,Philadelphia,76ers,PHI,sixers,1641720,Jalen,Hood-Schifino,J. Hood-Schifino,jalen-hood-schifino,,,,28:17,2,9,0.222,1,4,0.25,1,2,0.5,0,1,1,5,0,1,1,1,6,-18.0,0022401002
0022401002,1610612755,Philadelphia,76ers,PHI,sixers,1629643,Chuma,Okeke,C. Okeke,chuma-okeke,,,,37:02,5,6,0.833,4,5,0.8,0,0,0.0,7,8,15,2,0,1,0,0,14,-14.0,0022401002
0022401002,1610612755,Philadelphia,76ers,PHI,sixers,1642024,Alex,Reese,A. Reese,alex-reese,,,,24:14,3,8,0.375,3,7,0.429,2,2,1.0,0,5,5,0,0,0,1,2,11,-30.0,0022401002
0022401002,1610612755,Philadelphia,76ers,PHI,sixers,1630178,Tyrese,Maxey,T. Maxey,tyrese-maxey,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401002
0022401002,1610612755,Philadelphia,76ers,PHI,sixers,1626162,Kelly,Oubre Jr.,K. Oubre Jr.,kelly-oubre-jr,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401002
0022401002,1610612755,Philadelphia,76ers,PHI,sixers,1629022,Lonnie,Walker IV,L. Walker IV,lonnie-walker-iv,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401002
0022401002,1610612760,Oklahoma City,Thunder,OKC,thunder,1641794,Dillon,Jones,D. Jones,dillon-jones,F,,,36:13,3,7,0.429,2,6,0.333,3,4,0.75,0,5,5,5,2,0,2,2,11,20.0,0022401002
0022401002,1610612760,Oklahoma City,Thunder,OKC,thunder,1631119,Jaylin,Williams,J. Williams,jaylin-williams,F,,,37:46,7,11,0.636,3,5,0.6,2,2,1.0,4,13,17,11,2,0,3,3,19,33.0,0022401002
0022401002,1610612760,Oklahoma City,Thunder,OKC,thunder,1631096,Chet,Holmgren,C. Holmgren,chet-holmgren,C,,,23:23,6,11,0.545,2,4,0.5,5,6,0.833,1,6,7,1,0,1,0,1,19,19.0,0022401002
0022401002,1610612760,Oklahoma City,Thunder,OKC,thunder,1630198,Isaiah,Joe,I. Joe,isaiah-joe,G,,,29:19,7,13,0.538,5,9,0.556,2,2,1.0,0,3,3,5,0,0,3,0,21,35.0,0022401002
0022401002,1610612760,Oklahoma City,Thunder,OKC,thunder,1630598,Aaron,Wiggins,A. Wiggins,aaron-wiggins,G,,,28:49,10,18,0.556,4,10,0.4,2,3,0.667,0,4,4,6,0,0,1,2,26,32.0,0022401002
0022401002,1610612760,Oklahoma City,Thunder,OKC,thunder,1629026,Kenrich,Williams,K. Williams,kenrich-williams,,,,24:17,5,9,0.556,3,4,0.75,0,0,0.0,0,5,5,1,1,1,0,1,13,19.0,0022401002
0022401002,1610612760,Oklahoma City,Thunder,OKC,thunder,1642382,Branden,Carlson,B. Carlson,branden-carlson,,,,23:03,6,10,0.6,3,7,0.429,1,3,0.333,4,2,6,2,2,2,1,2,16,1.0,0022401002
0022401002,1610612760,Oklahoma City,Thunder,OKC,thunder,1641745,Adam,Flagler,A. Flagler,adam-flagler,,,,22:45,2,9,0.222,1,6,0.167,0,0,0.0,1,3,4,4,2,1,2,1,5,14.0,0022401002
0022401002,1610612760,Oklahoma City,Thunder,OKC,thunder,1642505,Alex,Ducas,A. Ducas,alex-ducas,,,,14:25,1,2,0.5,1,1,1.0,0,0,0.0,1,3,4,1,1,0,0,0,3,-8.0,0022401002
0022401002,1610612760,Oklahoma City,Thunder,OKC,thunder,1627936,Alex,Caruso,A. Caruso,alex-caruso,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401002
0022401002,1610612760,Oklahoma City,Thunder,OKC,thunder,1631172,Ousmane,Dieng,O. Dieng,ousmane-dieng,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401002
