gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id
0022300039,1610612754,Indiana,Pacers,IND,pacers,1627741,Buddy,Hield,B. Hield,buddy-hield,F,,,30:53,9,11,0.818,6,6,1.0,0,0,0.0,1,1,2,1,0,0,1,3,24,20.0,0022300039
0022300039,1610612754,Indiana,Pacers,IND,pacers,1630174,Aaron,Nesmith,A. Nesmith,aaron-nesmith,F,,,24:40,6,9,0.667,1,3,0.333,4,5,0.8,1,0,1,1,1,1,0,4,17,4.0,0022300039
0022300039,1610612754,Indiana,Pacers,IND,pacers,1626167,Myles,Turner,M. Turner,myles-turner,C,,,25:26,4,7,0.571,0,2,0.0,3,4,0.75,1,8,9,1,0,4,1,3,11,5.0,0022300039
0022300039,1610612754,Indiana,Pacers,IND,pacers,1628971,Bruce,Brown,B. Brown,bruce-brown,G,,,30:28,5,10,0.5,2,5,0.4,1,2,0.5,0,0,0,3,2,0,2,4,13,-1.0,0022300039
0022300039,1610612754,Indiana,Pacers,IND,pacers,1630169,Tyrese,Haliburton,T. Haliburton,tyrese-haliburton,G,,,38:31,11,18,0.611,9,15,0.6,6,7,0.857,1,4,5,16,3,1,6,0,37,16.0,0022300039
0022300039,1610612754,Indiana,Pacers,IND,pacers,1631097,Bennedict,Mathurin,B. Mathurin,bennedict-mathurin,,,,20:29,7,10,0.7,2,4,0.5,3,4,0.75,0,2,2,1,0,0,0,2,19,-1.0,0022300039
0022300039,1610612754,Indiana,Pacers,IND,pacers,1630167,Obi,Toppin,O. Toppin,obi-toppin,,,,33:53,9,16,0.563,1,6,0.167,2,2,1.0,0,1,1,6,1,1,2,3,21,-3.0,0022300039
0022300039,1610612754,Indiana,Pacers,IND,pacers,1630188,Jalen,Smith,J. Smith,jalen-smith,,,,5:13,2,2,1.0,0,0,0.0,2,4,0.5,2,1,3,0,0,0,0,0,6,-10.0,0022300039
0022300039,1610612754,Indiana,Pacers,IND,pacers,204456,T.J.,McConnell,T. McConnell,tj-mcconnell,,,,13:46,1,5,0.2,0,0,0.0,0,0,0.0,0,0,0,4,0,0,0,1,2,-4.0,0022300039
0022300039,1610612754,Indiana,Pacers,IND,pacers,1641767,Ben,Sheppard,B. Sheppard,ben-sheppard,,,,4:33,2,5,0.4,1,4,0.25,0,0,0.0,0,1,1,1,0,0,0,0,5,-9.0,0022300039
0022300039,1610612754,Indiana,Pacers,IND,pacers,1630543,Isaiah,Jackson,I. Jackson,isaiah-jackson,,,,12:08,1,1,1.0,0,0,0.0,0,0,0.0,1,4,5,1,0,4,1,5,2,8.0,0022300039
0022300039,1610612754,Indiana,Pacers,IND,pacers,1629670,Jordan,Nwora,J. Nwora,jordan-nwora,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022300039
0022300039,1610612754,Indiana,Pacers,IND,pacers,1641716,Jarace,Walker,J. Walker,jarace-walker,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022300039
0022300039,1610612737,Atlanta,Hawks,ATL,hawks,1629631,De'Andre,Hunter,D. Hunter,deandre-hunter,F,,,26:54,3,7,0.429,1,2,0.5,0,0,0.0,2,2,4,1,1,0,3,2,7,-11.0,0022300039
0022300039,1610612737,Atlanta,Hawks,ATL,hawks,1630552,Jalen,Johnson,J. Johnson,jalen-johnson,F,,,33:11,6,12,0.5,0,2,0.0,5,5,1.0,1,6,7,6,2,1,1,2,17,-4.0,0022300039
0022300039,1610612737,Atlanta,Hawks,ATL,hawks,203991,Clint,Capela,C. Capela,clint-capela,C,,,18:47,6,9,0.667,0,0,0.0,2,3,0.667,3,2,5,1,0,2,1,4,14,-10.0,0022300039
0022300039,1610612737,Atlanta,Hawks,ATL,hawks,1627749,Dejounte,Murray,D. Murray,dejounte-murray,G,,,34:15,11,19,0.579,4,6,0.667,2,2,1.0,1,2,3,5,2,0,5,3,28,-7.0,0022300039
0022300039,1610612737,Atlanta,Hawks,ATL,hawks,1629027,Trae,Young,T. Young,trae-young,G,,,38:49,13,17,0.765,5,8,0.625,7,8,0.875,0,1,1,8,3,0,3,3,38,-2.0,0022300039
0022300039,1610612737,Atlanta,Hawks,ATL,hawks,203992,Bogdan,Bogdanović,B. Bogdanović,bogdan-bogdanović,,,,26:21,10,15,0.667,2,5,0.4,4,4,1.0,0,2,2,0,0,0,0,4,26,-2.0,0022300039
0022300039,1610612737,Atlanta,Hawks,ATL,hawks,1630180,Saddiq,Bey,S. Bey,saddiq-bey,,,,30:51,4,7,0.571,2,4,0.5,2,5,0.4,1,9,10,2,0,0,0,0,12,4.0,0022300039
0022300039,1610612737,Atlanta,Hawks,ATL,hawks,1630168,Onyeka,Okongwu,O. Okongwu,onyeka-okongwu,,,,22:20,3,7,0.429,0,2,0.0,1,1,1.0,4,2,6,4,0,1,1,2,7,6.0,0022300039
