date,market,horizon,signal_key,game_id,home,away,team_tri,player,name_key,stat,stat_key,side,klass,elapsed,live_line,edge,strength,pred,act,result,err,has_context,tags,missing_reason,has_recon_games,has_recon_quarters,has_recon_props,interval_drift_on,recent_window_on,endgame_foul_on,driver_tags,line_source,exp_min,exp_min_eff,proj_min_final,usage_window_sec,pace_mult,role_mult,foul_mult,usg_recent,usg_game,team_usg_recent,team_usg_game,fg3a_recent,fg3a_game,team_3a_recent,team_3a_game,w_pace,edge_shrink_lambda,edge_shrink_lambda_poss,edge_shrink_lambda_time
2026-04-22,ats,game,game_ats,0042500102,DET,ORL,,,,,,det,BET,0.6666666666666666,-9.0,10.465833333333332,10.465833333333332,,15.0,win,,1,"['market:ats', 'horizon:game', 'klass:bet', 'ctx:present', 'mgn:close', 'ats_side:home', 'spr:7+', 'time:early', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",,1,0,0,,,,"['ctx:present', 'mgn:close', 'ats_side:home', 'spr:7+', 'time:early', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",,,,,,,,,,,,,,,,,,,,
2026-04-22,player_prop,live,player_prop:JALEN SUGGS:reb,0042500102,DET,ORL,ORL,Jalen Suggs,JALEN SUGGS,reb,reb,over,BET,0.6666666666666666,3.5,4.929059649944534,4.929059649944534,8.429059649944534,,,,1,"['market:player_prop', 'horizon:live', 'klass:bet', 'stat:reb', 'injury:off', 'pf:0-1', 'proj_min:24-32', 'rem_min:3.5+', 'mp:<3', 'line_src:oddsapi', 'line_age:fresh', 'market_span:wide', 'books:3+', 'hold:mid', 'bettable:yes', 'bet_score:high', 'edge_sigma:1+', 'gate:market_disagreement', 'foul_adj:flat', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",missing_recon_props,1,0,0,,,,"['injury:off', 'pf:0-1', 'proj_min:24-32', 'rem_min:3.5+', 'mp:<3', 'line_src:oddsapi', 'line_age:fresh', 'market_span:wide', 'books:3+', 'hold:mid', 'bettable:yes', 'bet_score:high', 'edge_sigma:1+', 'gate:market_disagreement', 'foul_adj:flat', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",oddsapi,30.3,30.3,30.3,180.0,,,1.0,,,,,,,,,,,,
2026-04-22,player_prop,live,player_prop:JALEN SUGGS:pra,0042500102,DET,ORL,ORL,Jalen Suggs,JALEN SUGGS,pra,pra,over,BET,0.6666666666666666,22.5,3.5198608737442214,3.5198608737442214,26.01986087374422,,,,1,"['market:player_prop', 'horizon:live', 'klass:bet', 'stat:pra', 'injury:off', 'pf:0-1', 'proj_min:24-32', 'rem_min:3.5+', 'mp:<3', 'sim:agree', 'line_src:oddsapi', 'line_age:fresh', 'market_span:tight', 'books:3+', 'hold:mid', 'bettable:yes', 'bet_score:high', 'edge_sigma:0.5-1.0', 'foul_adj:flat', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",missing_recon_props,1,0,0,,,,"['injury:off', 'pf:0-1', 'proj_min:24-32', 'rem_min:3.5+', 'mp:<3', 'sim:agree', 'line_src:oddsapi', 'line_age:fresh', 'market_span:tight', 'books:3+', 'hold:mid', 'bettable:yes', 'bet_score:high', 'edge_sigma:0.5-1.0', 'foul_adj:flat', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",oddsapi,30.3,30.3,30.3,180.0,,,1.0,,,,,,,,,,,,
2026-04-22,quarter_total,q1,q_total,0042500102,DET,ORL,,,,,,under,BET,3.0999999999999996,53.5,-11.61481481481481,11.61481481481481,20.833333333333336,,,,1,"['market:quarter_total', 'horizon:q1', 'klass:bet', 'ctx:present', 'shrink:0.25-0.5', 'time:early', 'mgn:close', 'scope:present', 'pace:slow', 'poss:normal', 'ppp:hot', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",missing_recon_quarters,1,0,0,0.0,0.0,0.0,"['ctx:present', 'shrink:0.25-0.5', 'time:early', 'mgn:close', 'scope:present', 'pace:slow', 'poss:normal', 'ppp:hot', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",,,,,,,,,,,,,,,,,,0.35555555555555546,0.5408,0.35555555555555546
2026-04-22,ats,game,game_ats,0042500102,DET,ORL,,,,,,det,BET,3.1,-9.5,9.223458333333333,9.223458333333333,,15.0,win,,1,"['market:ats', 'horizon:game', 'klass:bet', 'ctx:present', 'mgn:close', 'ats_side:home', 'spr:7+', 'time:early', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",,1,0,0,,,,"['ctx:present', 'mgn:close', 'ats_side:home', 'spr:7+', 'time:early', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",,,,,,,,,,,,,,,,,,,,
2026-04-22,player_prop,live,player_prop:CADE CUNNINGHAM:pra,0042500102,DET,ORL,DET,Cade Cunningham,CADE CUNNINGHAM,pra,pra,under,BET,3.1,44.5,-14.658937860305933,14.658937860305933,29.841062139694067,,,,1,"['market:player_prop', 'horizon:live', 'klass:bet', 'stat:pra', 'injury:off', 'pf:0-1', 'proj_min:24-32', 'rem_min:3.5+', 'sim:agree', 'line_src:oddsapi', 'line_age:fresh', 'market_span:tight', 'books:3+', 'hold:mid', 'bettable:yes', 'bet_score:high', 'edge_sigma:1+', 'foul_adj:flat', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",missing_recon_props,1,0,0,,,,"['injury:off', 'pf:0-1', 'proj_min:24-32', 'rem_min:3.5+', 'sim:agree', 'line_src:oddsapi', 'line_age:fresh', 'market_span:tight', 'books:3+', 'hold:mid', 'bettable:yes', 'bet_score:high', 'edge_sigma:1+', 'foul_adj:flat', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",oddsapi,29.0,29.0,29.0,180.0,,,1.0,,,,,,,,,,,,
2026-04-22,player_prop,live,player_prop:PAOLO BANCHERO:pra,0042500102,DET,ORL,ORL,Paolo Banchero,PAOLO BANCHERO,pra,pra,under,BET,3.1,33.0,-12.104423050977022,12.104423050977022,20.895576949022978,,,,1,"['market:player_prop', 'horizon:live', 'klass:bet', 'stat:pra', 'injury:off', 'pf:0-1', 'proj_min:32+', 'rem_min:3.5+', 'sim:agree', 'line_src:oddsapi', 'line_age:fresh', 'market_span:wide', 'books:2', 'hold:mid', 'bettable:yes', 'bet_score:high', 'edge_sigma:1+', 'gate:market_disagreement', 'gate:two_books', 'foul_adj:flat', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",missing_recon_props,1,0,0,,,,"['injury:off', 'pf:0-1', 'proj_min:32+', 'rem_min:3.5+', 'sim:agree', 'line_src:oddsapi', 'line_age:fresh', 'market_span:wide', 'books:2', 'hold:mid', 'bettable:yes', 'bet_score:high', 'edge_sigma:1+', 'gate:market_disagreement', 'gate:two_books', 'foul_adj:flat', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",oddsapi,33.3,33.3,33.3,180.0,,,1.0,,,,,,,,,,,,
2026-04-22,player_prop,live,player_prop:PAOLO BANCHERO:pts,0042500102,DET,ORL,ORL,Paolo Banchero,PAOLO BANCHERO,pts,pts,under,BET,3.1,20.5,-10.9113838553388,10.9113838553388,9.5886161446612,,,,1,"['market:player_prop', 'horizon:live', 'klass:bet', 'stat:pts', 'injury:off', 'pf:0-1', 'proj_min:32+', 'rem_min:3.5+', 'sim:agree', 'line_src:oddsapi', 'line_age:fresh', 'market_span:wide', 'books:3+', 'hold:mid', 'bettable:yes', 'bet_score:high', 'edge_sigma:1+', 'gate:market_disagreement', 'foul_adj:flat', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",missing_recon_props,1,0,0,,,,"['injury:off', 'pf:0-1', 'proj_min:32+', 'rem_min:3.5+', 'sim:agree', 'line_src:oddsapi', 'line_age:fresh', 'market_span:wide', 'books:3+', 'hold:mid', 'bettable:yes', 'bet_score:high', 'edge_sigma:1+', 'gate:market_disagreement', 'foul_adj:flat', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",oddsapi,33.3,33.3,33.3,180.0,,,1.0,,,,,,,,,,,,
2026-04-22,player_prop,live,player_prop:JALEN DUREN:pra,0042500102,DET,ORL,DET,Jalen Duren,JALEN DUREN,pra,pra,under,BET,3.1,29.5,-9.822757983066886,9.822757983066886,19.677242016933114,,,,1,"['market:player_prop', 'horizon:live', 'klass:bet', 'stat:pra', 'injury:off', 'pf:0-1', 'proj_min:24-32', 'rem_min:3.5+', 'sim:agree', 'line_src:oddsapi', 'line_age:fresh', 'market_span:wide', 'books:3+', 'hold:mid', 'bettable:yes', 'bet_score:high', 'edge_sigma:1+', 'gate:market_disagreement', 'foul_adj:flat', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",missing_recon_props,1,0,0,,,,"['injury:off', 'pf:0-1', 'proj_min:24-32', 'rem_min:3.5+', 'sim:agree', 'line_src:oddsapi', 'line_age:fresh', 'market_span:wide', 'books:3+', 'hold:mid', 'bettable:yes', 'bet_score:high', 'edge_sigma:1+', 'gate:market_disagreement', 'foul_adj:flat', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",oddsapi,31.8,31.8,31.8,180.0,,,1.0,,,,,,,,,,,,
2026-04-22,player_prop,live,player_prop:CADE CUNNINGHAM:pts,0042500102,DET,ORL,DET,Cade Cunningham,CADE CUNNINGHAM,pts,pts,under,BET,3.1,28.5,-8.725634816527595,8.725634816527595,19.774365183472405,,,,1,"['market:player_prop', 'horizon:live', 'klass:bet', 'stat:pts', 'injury:off', 'pf:0-1', 'proj_min:24-32', 'rem_min:3.5+', 'sim:agree', 'line_src:oddsapi', 'line_age:fresh', 'market_span:wide', 'books:3+', 'hold:mid', 'bettable:yes', 'bet_score:high', 'edge_sigma:1+', 'gate:market_disagreement', 'foul_adj:flat', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",missing_recon_props,1,0,0,,,,"['injury:off', 'pf:0-1', 'proj_min:24-32', 'rem_min:3.5+', 'sim:agree', 'line_src:oddsapi', 'line_age:fresh', 'market_span:wide', 'books:3+', 'hold:mid', 'bettable:yes', 'bet_score:high', 'edge_sigma:1+', 'gate:market_disagreement', 'foul_adj:flat', 'interval_drift:off', 'recent_window:off', 'endgame_foul:off']",oddsapi,29.0,29.0,29.0,180.0,,,1.0,,,,,,,,,,,,
