date,market,horizon,klass,game_id,home,away,player,stat,side,line,actual,price,outcome,profit_u,remaining,rem_bucket,received_at,strength
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Deandre Ayton,pra,UNDER,21.5,,-115.0,,,,,2026-04-22T02:50:10Z,9.701370467814769
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Jabari Smith Jr.,pts,OVER,17.5,,-115.0,,,,,2026-04-22T02:50:10Z,8.88463115963495
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Kevin Durant,pts,UNDER,21.5,,-114.0,,,,,2026-04-22T02:50:10Z,8.683881180774673
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,LeBron James,pts,UNDER,25.5,,-120.0,,,,,2026-04-22T02:50:10Z,8.627363783456197
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Luke Kennard,pra,UNDER,20.5,,-115.0,,,,,2026-04-22T02:50:10Z,7.445524909093754
2026-04-21,half_total,h1,BET,0042500172,LAL,HOU,,,UNDER,102.5,,,,,18.45,12+,2026-04-22T02:55:16Z,13.812500000000005
2026-04-21,quarter_total,q1,BET,0042500172,LAL,HOU,,,UNDER,52.0,,,,,6.45,6+,2026-04-22T02:55:16Z,14.624999999999998
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Amen Thompson,pra,UNDER,29.5,,-120.0,,,,,2026-04-22T02:55:16Z,10.54339257948046
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Alperen Sengun,pts,UNDER,16.5,,-114.0,,,,,2026-04-22T02:55:16Z,9.07236948059606
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Alperen Sengun,pra,UNDER,32.5,,-110.0,,,,,2026-04-22T02:55:16Z,8.570807858993877
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Marcus Smart,pts,OVER,15.0,,-131.0,,,,,2026-04-22T03:00:14Z,9.982070974790112
2026-04-21,total,game,BET,0042500172,LAL,HOU,,,UNDER,216.5,195.0,-110.0,WIN,0.9090909090909091,38.6,24+,2026-04-22T03:05:12Z,20.053703703703707
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Reed Sheppard,pra,OVER,16.0,,-110.0,,,,,2026-04-22T03:05:12Z,7.447783077192977
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Rui Hachimura,pra,UNDER,17.0,,-122.5,,,,,2026-04-22T03:05:12Z,7.395591804787166
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Rui Hachimura,pts,UNDER,12.0,,-114.5,,,,,2026-04-22T03:05:12Z,6.722680653884406
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Tari Eason,pra,OVER,14.5,,-110.0,,,,,2026-04-22T03:10:11Z,7.187760005519728
2026-04-21,quarter_total,q2,BET,0042500172,LAL,HOU,,,UNDER,45.5,,,,,7.866666666666666,6+,2026-04-22T03:25:08Z,9.59053497942387
2026-04-21,ats,game,BET,0042500172,LAL,HOU,,,LAL,-2.5,,,,,30.966666666666665,24+,2026-04-22T03:30:13Z,4.615673611111111
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Reed Sheppard,pts,OVER,5.5,,-117.0,,,,,2026-04-22T03:30:13Z,5.681244137782921
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Deandre Ayton,pts,UNDER,8.0,,-113.5,,,,,2026-04-22T03:30:13Z,4.781818469819399
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Jake LaRavia,pra,UNDER,9.5,,-110.0,,,,,2026-04-22T03:40:20Z,4.844961960067485
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Jarred Vanderbilt,pra,UNDER,12.0,,-110.0,,,,,2026-04-22T03:40:20Z,4.28840268706031
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Jarred Vanderbilt,pts,UNDER,7.5,,-110.0,,,,,2026-04-22T03:45:14Z,5.557590388493334
2026-04-21,quarter_total,q3,BET,0042500172,LAL,HOU,,,UNDER,51.5,,,,,9.033333333333333,6+,2026-04-22T04:10:20Z,8.142222222222225
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Josh Okogie,pts,UNDER,7.5,,-110.0,,,,,2026-04-22T04:20:10Z,4.1689787841502
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Marcus Smart,pra,UNDER,32.5,,-128.0,,,,,2026-04-22T04:25:08Z,4.187362420886593
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Marcus Smart,pts,UNDER,23.0,,-110.0,,,,,2026-04-22T04:40:06Z,5.829168090403829
2026-04-21,quarter_total,q4,BET,0042500172,LAL,HOU,,,UNDER,52.5,,,,,8.716666666666667,6+,2026-04-22T04:50:08Z,10.102684444444444
2026-04-21,player_prop,live,BET,0042500172,LAL,HOU,Josh Okogie,pts,OVER,3.5,,-110.0,,,,,2026-04-22T05:15:07Z,3.3953318424138175
